id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
134,7,1,2,2,0,1,0,0,0,0,255,255,255,64,5935.825,"Espressο",R,10,111,1.749,0.402,2,-20.904,400,0,0,1,5,4,R,"siesta_aves",190,101.997,0.398,2,57,5936.909,130,161,50,145,124,11.416,-24.272,0.21,0.137,-0.079,0.416,0,0,0,-0.28,-36.857,-0.678,-16.552,-21.33,-47.181,-12.811,-62.251,20.669,-53.271,10.679,-64.99,31.412,-81.743,-6.93,-104.263,-34.891,-81.88,0,0,0,5938.334,4,"にゃんこ3K",17.163,-52.887,0,0,0,0,0,0,0,1
135,7,1,2,2,0,0,1,0,0,0,255,255,255,65,5967.637,"Espressο",R,0,140,0.621,0.813,0,54.617,-200,0,0,0,6,2,R,"Chunsik03",190,103.23,0.392,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-37.36,-0.048,-16.338,-22.09,-48.564,-11.553,-62.646,20.563,-53.899,10.456,-65.476,31.098,-82.007,-6.877,-100.667,-36.611,-84.147,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
136,7,1,2,2,0,1,1,0,0,0,255,255,255,66,5983.24,"Espressο",R,13,115,-2.249,-2.266,4,-332.962,373.01,-0.64,-17.166,1,6,2,R,"Chunsik03",190,103.23,0.392,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205,-37.498,-0.551,-17.073,-21.593,-47.191,-11.561,-62.646,20.491,-54.048,9.652,-65.439,30.29,-82.515,-6.865,-100.58,-37.043,-83.746,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
137,7,1,2,2,0,2,1,0,0,0,255,255,255,67,6004.312,"Espressο",R,0,140,0.753,1.484,1,51.766,-200,0,0,0,6,2,R,"Chunsik03",190,103.23,0.392,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-37.203,-0.056,-16.319,-20.764,-46.669,-11.413,-62.254,20.512,-54.242,9.352,-66.183,30.349,-82.692,-6.844,-100.54,-36.608,-83.918,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
138,7,1,2,2,1,2,1,0,0,0,255,255,255,68,6021.981,"Espressο",R,10,110,0.692,-1.816,2,149.648,400,0,0,1,6,2,R,"Chunsik03",190,103.23,0.392,3,67,6023.049,183,102,35,148,122,-19.032,-45.717,0.54,-0.086,-0.092,0.282,0,0,0,0.07,-37.258,-0.001,-16.501,-21.966,-49.606,-10.83,-62.768,20.515,-54.167,9.607,-66.744,29.689,-82.576,-6.858,-100.496,-35.671,-84.761,6022.988,0.996,-21.483,6031.576,6,"ぐだもん",58.979,-77.513,0,0,0,0,0,0,0,2
139,7,1,2,2,0,0,1,0,1,0,255,2,255,69,6104.343,"Espressο",R,0,140,0.029,-0.115,0,113.955,-162.414,0,0,1,7,6,R,"Roscosmos",175,88,0.37,3,57,6105.062,118,123,45,140,83,97.774,70.304,-0.46,-0.052,-0.091,0,0,0,0,-0.555,-36.807,0.011,-16.533,-19.966,-45.946,-11.059,-62.827,18.864,-47.276,10.826,-64.567,34.607,-83.235,-6.818,-103.616,-36.503,-81.786,0,0,0,6105.262,1,"ゆっち一",0.026,-17.788,0,0,0,0,0,0,0,3
140,7,1,2,2,0,1,1,0,1,0,255,2,255,70,6125.907,"Espressο",R,0,138,0.71,-0.006,0,192.925,-200,0,0,0,7,6,R,"Roscosmos",175,88,0.37,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,-37.206,-0.021,-16.445,-21.878,-48.149,-10.84,-62.77,18.659,-45.199,10.035,-61.42,34.324,-83.84,-8.497,-103.696,-36.837,-84.839,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
141,7,1,2,2,0,2,1,0,1,0,255,2,255,71,6143.918,"Espressο",R,0,140,-3.216,0.421,1,42.695,-172.478,0,0,0,7,6,R,"Roscosmos",175,88,0.37,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-37.254,-0.653,-16.199,-20.932,-46.671,-11.295,-63.152,18.398,-44.91,5.956,-59.408,34.035,-83.856,-8.495,-103.859,-36.223,-85.321,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
142,7,1,2,2,1,2,1,0,1,0,255,2,255,72,6159.659,"Espressο",R,0,140,0.224,-0.3,2,194.558,-200,0,0,1,7,6,R,"Roscosmos",175,88,0.37,3,57,6160.354,123,122,20,140,82,17.947,-6.896,-0.48,-0.08,-0.167,0,0,0,0,-0.21,-36.927,-0.021,-16.259,-22.066,-47.54,-11.569,-62.388,18.15,-46.707,5.991,-58.909,34.16,-84.024,-8.617,-103.898,-37.04,-86.168,6163.262,6.187,-73.217,6165.813,7,"alcohol500",8.683,-96.96,1,0,0,0,0,0,0,2
143,7,1,2,2,0,0,1,1,0,1,6,255,2,73,6196.572,"Espressο",R,0,140,-0.006,-0.639,2,132.58,-184.847,0,0,1,8,8,R,"Penguin_iDOL",180,107,0.445,3,57,6197.587,214,94,58,151,93,49.746,55.639,-0.2,-0.077,-0.11,0.228,0,0,0,-0.112,-36.974,0.002,-16.567,-19.482,-47.109,-11.342,-62.592,19.057,-40.455,9.636,-54.94,28.25,-79.535,-7.991,-104.592,-35.887,-86.627,6202.268,-66.129,-53.401,0,0,"",0,0,0,0,0,0,0,0,0,0
