id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,impMv,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CName,CPosX,CPosY,1BName,1BPosX,1BPosY,2BName,2BPosX,2BPosY,3BName,3BPosX,3BPosY,SSName,SSPosX,SSPosY,LFName,LFPosX,LFPosY,CFName,CFPosX,CFPosY,RFName,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1906.628,"-라후이-",R,26,140,1.547,1.415,0.228,1.735,-36.248,1,0,-38.95,-200,19.817,0,0,0,0,3,R,"Pugeuk",160,91.086,0.552,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,-37.178,"Dοpi",-0.042,-16.851,"siesta_aves",-19.996,-46.038,"즉석카레",-15.359,-62.483,"peperon8655",21.37,-46.623,"muyang_",8.018,-64.462,"Roscosmos",36.909,-79.786,"ByeolBam",-0.541,-104.636,"Penguin_iDOL",-43.588,-89.055,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,1921.399,"-라후이-",R,26,140,1.667,1.344,0.265,1.7,-36.307,4,0,-34.888,-160.64,9.669,0,0,1,0,3,R,"Pugeuk",160,91.086,0.552,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.033,"Dοpi",0.115,-16.947,"siesta_aves",-20.053,-46.036,"즉석카레",-15.312,-62.691,"peperon8655",21.591,-46.772,"muyang_",8.323,-64.088,"Roscosmos",36.047,-79.192,"ByeolBam",-0.284,-102.997,"Penguin_iDOL",-43.684,-89.045,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,1935.544,"-라후이-",R,26,140,1.134,-0.038,0.118,1.407,-36.228,2,0,35.242,-192.062,12.895,0,0,1,0,3,R,"Pugeuk",160,91.086,0.552,3,57,1936.412,108,69,12,71,129,74,-24.23,1.837,-0.05,-0.049,-0.111,0.097,0,0,0,-0.011,-36.982,"Dοpi",0.088,-17.068,"siesta_aves",-20.048,-46.106,"즉석카레",-15.306,-62.581,"peperon8655",21.546,-46.732,"muyang_",13.035,-63.534,"Roscosmos",36.694,-80.141,"ByeolBam",-0.179,-103.67,"Penguin_iDOL",-43.652,-89.265,1936.565,0.162,-21.122,1937.915,0,"-라후이-",-0.452,-37.142,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1965.154,"-라후이-",R,26,135,3.395,0.497,0.164,1.419,-36.249,3,0,163.663,-200,58.817,0.675,-20.575,0,1,6,R,"Apple_Sherbet",179.7,88.921,0.302,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,-36.969,"Dοpi",0.164,-16.861,"siesta_aves",-20.068,-44.952,"즉석카레",-14.596,-62.955,"peperon8655",21.558,-46.211,"muyang_",10.147,-64.652,"Roscosmos",36.494,-82.185,"ByeolBam",-0.206,-107.259,"Penguin_iDOL",-38.029,-87.715,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
5,1,1,0,0,0,0,1,1,0,0,6,255,255,4,1995.214,"-라후이-",R,26,140,-0.244,0.959,0.065,1.674,-36.293,0,0,-39.754,-155.022,20.047,0,0,0,2,2,L,"하루（Haru）",190,107,0.55,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,-37.061,"Dοpi",-0.306,-17.174,"siesta_aves",-19.699,-43.982,"즉석카레",-13.057,-62.763,"peperon8655",21.417,-46.416,"muyang_",11.755,-63.927,"Roscosmos",37.421,-79.902,"ByeolBam",-0.088,-105.045,"Penguin_iDOL",-36.662,-90.646,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,1,0,0,6,255,255,5,2037.62,"-라후이-",R,26,140,-0.198,0.681,0.033,1.611,-36.252,2,0,-20.196,-155.041,15.909,0,0,1,2,2,L,"하루（Haru）",190,107,0.55,3,57,2038.62,153,158,55,210,146,130,55.814,-34.72,0.45,0.094,-0.027,0.28,0,0,0,-0.01,-36.732,"Dοpi",0.05,-17.104,"siesta_aves",-19.965,-41.433,"즉석카레",-12.61,-62.232,"peperon8655",21.702,-46.587,"muyang_",14.248,-63.992,"Roscosmos",37.653,-80.223,"ByeolBam",-0.17,-107.434,"Penguin_iDOL",-37.739,-91.364,2045.465,63.915,-101.568,0,0,"",0,0,0,0,0,0,0,0,0,4
7,1,1,2,0,0,0,1,0,0,0,255,255,255,6,2086.005,"-라후이-",R,26,140,1.087,1.293,0.225,1.576,-36.197,4,0,-48.397,-169.674,10.843,0,0,1,3,4,R,"bdg06213",190,99.549,0.504,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,-37.152,"Dοpi",0.083,-16.821,"siesta_aves",-20.035,-47.1,"즉석카레",-14.038,-63.461,"peperon8655",21.924,-46.736,"muyang_",13.028,-64.081,"Roscosmos",39.835,-82.103,"ByeolBam",-0.38,-107.566,"Penguin_iDOL",-40.323,-89.469,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,1,2,0,0,1,1,0,0,0,255,255,255,7,2098.477,"-라후이-",R,26,140,1.593,1.472,0.237,1.642,-36.273,1,0,-20.605,-177.978,5.891,0,0,0,3,4,R,"bdg06213",190,99.549,0.504,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,-37.344,"Dοpi",0.126,-16.894,"siesta_aves",-20.223,-46.355,"즉석카레",-13.99,-63.505,"peperon8655",22.095,-46.758,"muyang_",12.281,-63.328,"Roscosmos",39.891,-82.35,"ByeolBam",-0.284,-108.002,"Penguin_iDOL",-40.428,-89.609,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,2,0,1,1,1,0,0,0,255,255,255,8,2245.028,"-라후이-",R,27,140,1.297,1.1,0.245,1.774,-36.279,2,0,-12.268,-138.888,11.664,0,0,1,3,4,R,"bdg06213",190,99.549,0.504,3,57,2246.1,124,78,36,93,140,88,95.36,76.7,-0.49,0.011,-0.087,0.124,0,0,0,0.243,-36.956,"Dοpi",0.026,-16.972,"siesta_aves",-20.547,-47.214,"즉석카레",-13.605,-64.043,"peperon8655",21.463,-48.617,"muyang_",13.34,-63.761,"Roscosmos",36.259,-83.063,"ByeolBam",-0.214,-104.686,"Penguin_iDOL",-43.882,-94.378,2252.299,40.181,-15.75,0,0,"",0,0,0,0,0,0,0,0,0,3
10,1,1,2,0,1,2,1,0,0,0,255,255,255,9,2269.087,"-라후이-",R,10,105,-0.528,-1.583,0.151,1.96,-36.332,4,0,0,400,-0.312,-0.126,-18.604,1,3,4,R,"bdg06213",190,99.549,0.504,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047,-37.019,"Dοpi",-0.396,-17.056,"siesta_aves",-21.815,-47.574,"즉석카레",-13.581,-63.644,"peperon8655",21.981,-48.823,"muyang_",11.455,-63.904,"Roscosmos",36.926,-81.447,"ByeolBam",-2.403,-106.073,"Penguin_iDOL",-46.569,-85.754,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
11,1,1,2,0,0,0,2,0,0,0,255,255,255,10,2300.161,"-라후이-",R,26,140,1.111,0.692,0.149,1.429,-36.171,0,0,-1.008,-200,15.843,0,0,0,4,1,R,"TaeGeuk_",175.9,90.719,0.415,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-37.213,"Dοpi",0.094,-16.927,"siesta_aves",-21.55,-47.469,"즉석카레",-12.957,-63.868,"peperon8655",21.515,-47.709,"muyang_",13.198,-64.274,"Roscosmos",39.141,-83.233,"ByeolBam",-0.174,-103.656,"Penguin_iDOL",-44.553,-84.828,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
12,1,1,2,0,0,1,2,0,0,0,255,255,255,11,2313.465,"-라후이-",R,26,140,1.455,1.424,0.18,1.555,-36.198,1,0,-14.566,-193.681,17.097,0,0,0,4,1,R,"TaeGeuk_",175.9,90.719,0.415,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,-36.882,"Dοpi",0.036,-16.868,"siesta_aves",-21.538,-47.444,"즉석카레",-13.807,-63.521,"peperon8655",21.365,-47.988,"muyang_",12.434,-63.052,"Roscosmos",39.105,-83.23,"ByeolBam",-0.027,-103.712,"Penguin_iDOL",-44.79,-84.969,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
