id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
196,8,1,9,8,1,0,1,0,1,0,255,4,255,36,10506.94,"卯月満開",R,0,126,-0.152,0.941,2,0,0,0,0,1,7,6,L,"IbikiKai_JP",175,90,0.5,3,29,10508.08,165,93,36,144,88,27.274,-40.57,-0.01,-0.062,-0.09,0.279,0,0,0,-0.704,-37.12,0.004,-17.124,-19.132,-45.259,-10.317,-63.193,20.212,-44.391,11.055,-61.855,43.008,-83.034,7.541,-106.446,-49.302,-96.336,10512.67,54.966,-68.596,0,0,"",0,0,0,0,0,0,0,0,0,3
197,8,1,9,8,1,1,1,0,1,0,255,4,255,37,10537.02,"卯月満開",R,0,132,1.011,0.25,0,0,36.429,0,0,0,7,6,L,"IbikiKai_JP",175,90,0.5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.245,-37.658,0.047,-17.293,-19.044,-45.974,-5.585,-61.308,22.854,-47.601,11.542,-64.17,42.385,-84,11.217,-114.426,-46.256,-99.616,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
198,8,1,9,8,1,2,1,0,1,0,255,4,255,38,10557.15,"卯月満開",R,13,108,-2.28,-1.521,1,-282.071,400,0,0,0,7,6,L,"IbikiKai_JP",175,90,0.5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055,-37.341,0.104,-18.985,-18.704,-45.835,-5.674,-61.816,23.08,-47.446,10.984,-60.583,42.441,-83.656,8.586,-110.104,-45.298,-99.092,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
199,8,1,9,8,0,0,2,0,1,0,255,4,255,39,10623.95,"卯月満開",R,10,128,0.405,0.576,0,0,400,0,0,0,8,3,L,"ʚEveɞ",174.6,94.542,0.398,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-37.301,0.057,-16.732,-18.171,-49.723,-4.593,-60.618,21.446,-45.32,11.737,-65.122,43.042,-82.906,-4.76,-103.549,-47.19,-94.82,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
200,8,1,9,8,0,1,2,0,1,0,255,4,255,40,10647.3,"卯月満開",R,10,128,-0.55,-1.09,2,0,400,0,0,1,8,3,L,"ʚEveɞ",174.6,94.542,0.398,3,59,10648.32,209,135,3,153,125,-13.121,33.564,0.24,0.131,-0.084,0.564,0,0,0,-0.559,-36.979,-0.031,-17.11,-18.224,-49.947,-6.739,-61.553,20.477,-45.295,11.821,-65.363,43.082,-82.877,-5.402,-103.32,-46.564,-95.202,10648.58,-0.641,-21.625,10649.9,2,"Pugeuk",-17.075,-46.498,0,0,0,0,0,0,0,2
201,8,0,9,8,0,0,0,0,0,0,255,255,255,0,10898.1,"ʚEveɞ",R,0,131,1.037,-0.157,2,31.429,-98.7,0,0,1,1,4,R,"bdg06213",190,99.549,0.504,3,59,10899.26,197,173,44,155,96,94.2,-73.401,-0.49,0.024,-0.135,0.187,0,0,0,-0.064,-37.026,0.191,-16.633,-21.491,-49.093,-14.247,-64.126,15.428,-51.362,6.585,-66.334,35.7,-81.8,-4.28,-103.766,-39.412,-85.472,10906.27,-29.6,-10.709,0,0,"",0,0,0,0,0,0,0,0,0,0
202,8,0,9,8,0,1,0,0,0,0,255,255,255,1,10926.52,"ʚEveɞ",R,6,84,1.496,0.79,1,368.79,0,0,0,0,1,4,R,"bdg06213",190,99.549,0.504,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-37.1,0.233,-16.575,-20.812,-49.25,-14.157,-63.559,15.531,-50.446,3.974,-65.998,35.7,-81.8,-2.364,-106.725,-42.17,-82.286,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
203,8,0,9,8,1,1,0,0,0,0,255,255,255,2,10946.63,"ʚEveɞ",R,0,133,-1.507,-0.004,2,27.424,-94.049,0,0,1,1,4,R,"bdg06213",190,99.549,0.504,3,59,10947.85,180,126,13,151,130,39.149,20.188,0.41,-0.026,-0.105,0.142,0,0,0,-0.191,-36.845,-0.145,-16.618,-20.667,-49.279,-14.185,-63.521,14.413,-51.074,4.783,-66.37,35.7,-81.8,-5.35,-109.156,-42.016,-82.273,10953,-37.195,-117.281,10955.75,-1,"Apple_Sherbet",-30.217,-115.169,1,2,0,0,0,0,0,2
204,8,0,9,8,0,0,1,0,0,0,255,255,255,3,10997.51,"ʚEveɞ",R,6,94,2.735,0.032,1,427.273,0,0,0,0,2,8,L,"하루（Haru）",190,107,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163,-37.334,0.275,-16.664,-20.883,-48.781,-9.801,-66.246,20.311,-44.483,13.491,-63.132,35.7,-81.8,7.818,-103.148,-33.308,-86.504,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
205,8,0,9,8,1,0,1,0,0,0,255,255,255,4,11015.97,"ʚEveɞ",R,0,140,0.422,-0.309,0,62.818,-200,0,0,0,2,8,L,"하루（Haru）",190,107,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042,-37.386,0.222,-16.571,-20.852,-48.867,-9.793,-66.005,20.881,-45.588,11.705,-60.894,35.7,-81.8,7.766,-103.062,-33.845,-88.357,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
