id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
120,6,1,1,2,0,2,0,0,0,0,255,255,255,52,5309.357,"-Alta-",L,0,137,-14.488,-2.666,1,-53.379,12.045,-2.796,-19.835,0,0,5,R,"coder_",164.7,107,0.268,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,-36.817,-1.545,-15.053,-23.198,-47.359,-10.88,-62.495,17.023,-44.669,10.136,-64.705,37.315,-86.743,0.188,-111.61,-41.522,-86.056,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
121,6,1,1,2,1,2,0,0,0,0,255,255,255,53,5331.126,"-Alta-",L,0,134,0.978,1.604,2,-170.081,63.161,0,0,1,0,5,R,"coder_",164.7,107,0.268,3,59,5332.232,211,150,28,155,90,25.468,15.146,-0.05,-0.071,-0.07,0.299,0,0,0,0.304,-36.551,0.054,-16.371,-23.075,-47.287,-9.742,-62.138,17.071,-44.693,14.729,-63.894,37.762,-87.161,0.222,-111.619,-43.539,-86.542,0,0,0,5337.336,8,"わかなで",-30.124,-88.972,0,0,0,0,0,0,0,1
122,6,1,1,2,0,0,1,0,0,0,255,255,255,54,5363.702,"-Alta-",L,3,118,3.963,-1.218,2,420.461,175.736,0,0,1,1,9,L,"encounter v",190,100,0.447,3,59,5364.839,117,135,48,142,128,27.103,18.468,0.55,0.085,-0.194,0.372,0,0,0,0.637,-36.362,0.125,-16.584,-22.796,-47.896,-8.616,-63.785,18.77,-43.854,16.498,-62.615,41.022,-84.147,0.238,-112.001,-41.055,-86.465,5369.703,-11.82,-128.181,5371.603,7,"紅さかな",-10.569,-128.252,1,0,0,0,0,0,0,2
123,6,1,1,2,0,0,1,0,1,0,255,0,255,55,5407.252,"-Alta-",L,0,124,-3.019,0.674,2,-80.503,5.682,0,0,1,2,1,L,"눈꽃",190,104.886,0.496,3,59,5408.256,184,134,42,155,97,21.525,35.048,-0.46,0.059,0.029,0,0,0,0,0.25,-36.371,-0.034,-16.313,-22.408,-47.181,-6.474,-63.294,19.237,-42.198,15.108,-63.835,36.498,-86.2,0.305,-115.386,-40.326,-91.142,5412.369,-53.382,-76.839,5416.386,8,"わかなで",-66.53,-87.223,1,0,0,0,0,0,0,2
124,6,1,2,2,0,0,1,0,1,0,255,1,255,56,5502.095,"-Alta-",L,3,127,3.082,0.537,1,458.953,0,0,0,0,3,8,L,"Sabo_10",184.7,94,0.597,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-36.701,0.114,-16.249,-22.88,-47.743,-7.335,-63.692,18.196,-41.974,11.454,-63.741,36.915,-86.554,0.559,-120.057,-39.182,-88.634,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
125,6,1,2,2,1,0,1,0,1,0,255,1,255,57,5520.654,"-Alta-",L,0,125,-8.784,-1.033,1,-56.914,29.023,-2.255,-15.508,0,3,8,L,"Sabo_10",184.7,94,0.597,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.147,-33.533,-1.336,-14.458,-22.851,-47.683,-5.134,-63.075,18.083,-42.613,11.455,-63.594,36.868,-86.577,1.125,-120.173,-42.054,-91.821,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
126,6,1,2,2,2,0,1,0,0,1,255,255,1,58,5553.952,"-Alta-",L,0,123,-2.634,0.326,2,-81.694,22.719,0,0,1,3,8,L,"Sabo_10",184.7,94,0.597,3,59,5554.947,158,95,24,142,87,89.17,88.163,-0.53,0.063,-0.106,0.148,0,0,0,0.253,-36.572,0.013,-16.338,-22.652,-47.464,-8.946,-62.855,18.018,-42.009,14.716,-63.079,35.777,-83.169,0.196,-122.358,-46.726,-87.162,5561.036,-42.062,-19.748,0,0,"",0,0,0,0,0,0,0,0,0,0
127,6,1,2,2,2,1,1,0,0,1,255,255,1,59,5577.939,"-Alta-",L,3,117,2.878,0.096,1,439.671,0,0,0,0,3,8,L,"Sabo_10",184.7,94,0.597,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481,-36.497,0.102,-16.447,-22.552,-47.493,-10.235,-63.714,18.609,-41.283,12.713,-61.864,36.477,-78.357,1.005,-119.073,-42.85,-86.27,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
128,6,1,2,2,3,1,1,0,0,1,255,255,1,60,5594.997,"-Alta-",L,0,133,0.491,-0.003,2,-141.522,48.286,0,0,1,3,8,L,"Sabo_10",184.7,94,0.597,3,59,5596.081,182,144,30,155,110,15.412,14.382,0.06,0.041,-0.136,0.368,0,0,0,0.023,-36.517,0.023,-16.503,-22.53,-47.532,-10.247,-63.615,18.391,-42.455,12.585,-64.053,36.445,-78.45,0.919,-118.317,-45.099,-86.095,5599.903,-6.479,-104.446,5600.436,7,"紅さかな",-6.021,-107.613,1,0,0,0,0,0,0,2
129,6,1,3,2,0,0,1,1,0,0,8,255,255,61,5656.805,"-Alta-",L,0,140,1.44,0.316,2,-42.054,-175.508,0,0,1,4,4,R,"_이누_",190,90.187,0.5,2,59,5657.722,189,125,0,148,55,39.027,-3.618,-0.43,0.002,-0.098,0.405,0,0,0,0.587,-36.795,0.057,-16.359,-18.169,-39.662,-11.005,-62.249,17.611,-43.93,12.655,-62.813,30.234,-80.856,0.218,-114.062,-44.595,-85.293,5662.036,2.638,-56.764,5662.27,3,"D_arling",2.555,-55.442,0,8,0,0,0,0,0,1
