id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,spdK,zoneX,zoneY,call,sH,sV,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,shS,lgS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,hitSpnX,hitSpnY,hitSpnZ,PPosX,PPosY,CPosX,CPosY,1BPosX,1BPosY,2BPosX,2BPosY,3BPosX,3BPosY,SSPosX,SSPosY,LFPosX,LFPosY,CFPosX,CFPosY,RFPosX,RFPosY,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
188,9,1,1,6,1,0,0,0,0,0,255,255,255,27,8684.25,"なおｐ--",R,0,138,1.617,0.686,1,0,0,0,0,0,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-37.85,0.05,-17.403,-22.474,-52.027,-10.268,-66.525,24.694,-49.055,13.644,-64.827,34.418,-89.284,0.741,-109.088,-52.966,-90.2,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
189,9,1,1,6,2,0,0,0,0,0,255,255,255,28,8704.759,"なおｐ--",R,3,100,-1.996,0.874,1,-377.02,0,0,0,0,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197,-37.972,-0.119,-17.39,-22.453,-52.079,-10.267,-66.504,24.82,-49.662,13.289,-64.999,36.376,-91.782,1.27,-107.856,-54.026,-91.436,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
190,9,1,1,6,3,0,0,0,0,0,255,255,255,29,8725.381,"なおｐ--",R,0,122,0.621,0.994,0,0,0,0,0,0,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.917,0.012,-17.402,-22.176,-52.311,-10.245,-66.556,24.857,-49.525,13.494,-64.876,36.416,-91.826,0.952,-108.12,-58.038,-90.176,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
191,9,1,1,6,3,1,0,0,0,0,255,255,255,30,8745.454,"なおｐ--",R,0,140,1.08,0.826,0,0,0,0,0,1,1,3,R,"Oort__Cloud",160,89.754,0.2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.041,-37.778,0.108,-17.399,-22.351,-52.086,-10.26,-66.512,24.885,-49.564,13.582,-64.8,36.456,-91.845,-1.025,-112.275,-57.933,-90.612,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
192,9,1,1,6,0,0,0,1,0,0,3,255,255,30,8802.233,"なおｐ--",R,14,102,2.186,-1.542,1,341.753,337.884,0.527,-18.549,0,2,5,R,"장덕춘_",170,94.815,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157,-37.823,0.49,-15.969,-19.983,-42.975,-12.789,-64.787,25.23,-49.875,5.091,-63.027,43.552,-103.464,-0.788,-115.103,-55.936,-90.807,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
193,9,1,1,6,1,0,0,1,0,0,3,255,255,31,8832.142,"なおｐ--",R,0,120,1.11,0.956,0,0,0,0,0,0,2,5,R,"장덕춘_",170,94.815,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-37.946,0,-17.272,-19.628,-43.581,-13.83,-64.736,25.862,-50.7,4.264,-62.399,41.12,-96.829,-3.564,-117.364,-52.087,-88.411,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
194,9,1,1,6,1,1,0,1,0,0,3,255,255,32,8847.316,"なおｐ--",R,0,129,0.713,0.76,0,0,0,0,0,0,2,5,R,"장덕춘_",170,94.815,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22,-37.589,0.026,-17.281,-19.62,-43.739,-13.682,-64.776,25.873,-50.631,3.093,-62.319,40.634,-96.436,-3.978,-118.378,-50.803,-89.229,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
195,9,1,1,6,1,2,0,1,0,0,3,255,255,33,8871.523,"なおｐ--",R,0,126,2.734,0.773,4,0,0,0.267,-20.407,1,2,5,R,"장덕춘_",170,94.815,0.549,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,-37.66,0.148,-18.054,-19.031,-44.928,-13.527,-65.023,25.931,-50.614,5.181,-62.727,40.567,-96.442,-4.003,-116.087,-50.985,-88.872,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
196,9,1,1,6,0,0,1,1,0,0,3,255,255,34,8901.819,"なおｐ--",R,6,88,2.116,0.455,2,400,0,0,0,1,3,6,R,"Apple_Sherbet",189.5,90.377,0.302,3,59,8902.884,159,147,61,151,95,91.646,80.32,-0.45,-0.024,-0.043,0.369,0,0,0,-0.089,-37.559,0.125,-17.357,-19.649,-43.255,-13.525,-65.121,26.048,-50.26,9.504,-65.103,38.556,-102.106,-1.337,-111.491,-51.999,-85.669,8909.82,19.343,-18.185,8910.004,1,"Kr_Luna",19.011,-18.224,0,0,0,0,0,0,0,1
197,9,1,1,6,0,0,2,1,0,0,3,255,255,35,8937.976,"なおｐ--",R,0,133,-0.182,1.631,1,0,0,0,0,0,4,2,L,"하루（Haru）",180.3,107,0.55,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151,-38.044,-0.317,-17.547,-19.733,-41.997,-8.432,-64.829,23.508,-47.28,13.71,-64.488,45.344,-80.459,0.26,-107.354,-45.69,-82.892,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
198,9,1,1,6,1,0,2,1,0,0,3,255,255,36,8961.659,"なおｐ--",R,13,77,-2.354,-0.905,2,-273.304,312.348,0,0,1,4,2,L,"하루（Haru）",180.3,107,0.55,3,59,8962.944,148,210,65,149,104,-30,24.971,0.28,0.074,-0.016,0.302,0,0,0,-0.108,-37.425,0.083,-17.5,-19.617,-44.897,-11.564,-64.709,23.285,-47.302,13.49,-64.715,46.229,-81.227,0.663,-110.255,-48,-83.525,8963.086,-0.923,-21.835,8972.42,7,"Multeinn",-34.444,-114.129,1,0,0,0,0,0,0,2
199,9,1,1,6,0,0,2,0,1,1,255,2,3,37,9003.366,"なおｐ--",R,3,83,-1.905,0.788,1,-377.273,0,0,0,0,5,4,R,"bdg06213",190,99.549,0.504,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236,-38.016,-0.013,-17.428,-23.189,-52.056,-10.704,-66.272,19.702,-40.814,6.419,-64.18,31.157,-93.025,-1.467,-111.011,-50.438,-89.522,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
200,9,1,2,6,1,0,2,0,0,1,255,255,2,38,9104.128,"なおｐ--",R,0,123,1.625,0.413,2,0,0,0,0,1,5,4,R,"bdg06213",190,99.549,0.504,3,52,9105.275,102,115,49,136,85,89.018,-85.406,-0.52,-0.029,-0.139,0.121,0,0,0,0.032,-37.732,0.119,-17.333,-21.914,-52.181,-10.176,-66.308,21.587,-44.964,13.478,-64.775,31.878,-93.386,0.33,-105.483,-50.976,-90.211,9111.654,21.373,-27.772,9111.82,4,"_AKASATA_",20.834,-27.548,0,0,0,0,0,0,0,1
